This is a cache of every repository I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \              \           \_____________  \
          \                \              \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
453a1d771ef8eb042195cc9b1199a68ed4b72945d26f63bad405b9c216edc811 27 0 0 0
902fa2bad0e48f1631f10bbef088f4a17d5f1a0ec407220fd228b6a612a758d1 19 0 0 0
5d9558151255ba0ad8b99287341afa2e3cd386dacb67c2ff1e1def72a5a85200 4 0 0 0
08dbda8adbc011c4691c6a2ec7c12f4ac61bcba243a32078cdb29b029cb5102f 5 1 5 0
c74ba5d5956aedaad349a4d9197eb435148b3a23d0d4364f617d78df95c400c4 18 18 59 38
70ee8b360c5369a22d26289c07010d7b7871b93e7e68684f58fca2a29a67e6ba 48 28 2600 258867
010c67efe878044139d5613e90971ea88a9a577c8e8bb80f40f6ed872a23beb3 12 1 1 0
f043a117c011cb3053e23baaeb441c109aee3948e2f750668010e969df7957ab 1 1 1 0
fbb0aa72e49f546a76952539ab4bb5491e681848b0673837b57c58c5a3fc4302 83 4 448 2
ce13cf4cd5df2c0046e7703cea476bf6f33dfd1de100d40ddea9cf268877051e 22 0 0 0
d39ccc8e8877905f8dabfcab436262f03957e85aca6e191be0dee68e5edee7d0 6 2 2 1
4979f2a2d4a62e9b6b4c24d768e2c8a3974c1399f2bfa4706c021d20c4158e6b 30 0 0 0
da7298655f266fa98d2458f38aae99104b860865e72625d8d82eb357bc2fc723 56 5 5062 2779
78fef0457a0ae2535ed51168ab9e0a4459083ef9b2db9fe471a5e66b7ad5c2b5 7 0 0 0
e9dfc54fa6d42b1e15cd433202382fe12e7c49d4adbead50fafeaffc8f6859a0 2 2 401 0
079207286f2911d36b05e9ff1692039371f45b2b0587809b9f461cfc02ce8bea 0 0 0 0
4a83a40f6d76b749c7fe2051d1a5d8974fe79ce1accd56d7681c726cf2ac3146 2 2 9656 143
f8b96ecc02a37233909abc9002a604e55ec248886661a25a7b6463280a0988fb 2 0 0 0
627f3e09b865ffad7f62f5b85c2c5ab129670050b8b68e1df95eb31ffcd7e8e4 3 0 0 0
4f687c1de01e06de6c40581d4f09c43228b65ae0d832e861f60f03c9572456d8 15 3 553 450
b472d54ac6b4af701dd62fa0211d742bfeaa8ee657c5ab6b73b81a889fce89d3 1 1 2 0
69484e4641bdc2f9ef4ffe4fe773972a8fd7e7958a6f7c1daa221187942bd5c2 1 1 624 0
bf6f8685b6c1d15a1fb6b0056478eba6a5e3887e279603cb8a2300b386ef3d96 45 45 2694 2
8f29e59d4072fc0c284d3ce96a2bc3cc19054dc1cacaf592594f463dde12ffcf 2 1 203 61
9a87bb822bf27213d65088b8f84c7f90227889a55850853c7848041885dd2a5c 21 2 1084 0
448b6bab15e485b7561696dd4b7c0207359e91ffe15a06ff0c68da6703b317e5 2 2 664 72
4946ee36422b11f8ffc8e6f6be1c2bd4150a11f54209225b67db4cfd815393b9 13 0 0 0
3cfddc21463080056316d0f19031ff0297a71c5a606df8a0f5c12d5f8ed3de4a 21 2 1084 0
357738a8b7613f2092586bf33f94ec6f784cce1c7ab2603b73332cadf408522d 1 1 7730 0
6329c4a416f217819fb032b4ea20f4212f6ff8424dca208ecb65ff98af8ae9ba 981 3 607 121
ac8a1c9f1076f0dc3e7d8945f6987f20516d879c2ffa30bf066760fb3c6655f9 6 6 4722 2331
78a473167d7e82578a470c044e69459b1f424d35139d253120200e271ba08d7b 384 2 39395 4201
e23ce474ca92f6c318576256e0f071dd4aa39b8a2f96191bfaa7abb7f78f6bf7 3 3 5703 428
08db6112fe72e95cdce889ca4a508ab2fe7f1359359b932617fc98a2c4fb23e5 4 4 117 3
